Primary Angle,A 125,A 100,A 80,A 70,F 125,F 100,F 80,F 70
0,0.422,0.358,0.277,0.223649,0.562788,0.521332,0.447391,0.383129
10,0.411,0.348,0.271,0.219348,0.546436,0.505131,0.435984,0.373663
20,0.393,0.335,0.259,0.208894,0.523033,0.488641,0.419208,0.356698
30,0.357,0.301,0.231,0.184569,0.479515,0.442127,0.379508,0.322646
40,0.315,0.264,0.2,0.158526,0.426122,0.391055,0.331376,0.278944
50,0.255,0.21,0.158,0.12633,0.349813,0.315972,0.265801,0.222809
60,0.206,0.168,0.123,0.094363,0.285963,0.257249,0.211948,0.173981
70,0.162,0.132,0.097,0.07395,0.225237,0.203107,0.166987,0.137488
80,0.147,0.119,0.086,0.065844,0.205632,0.182633,0.150481,0.123714
90,0.152,0.124,0.09,0.068285,0.213013,0.191144,0.156079,0.126578
100,0.171,0.141,0.106,0.082544,0.234921,0.212779,0.177706,0.148216
130,0.417,0.362,0.29,0.240883,0.539706,0.510041,0.451392,0.396042
160,0.639,0.568,0.481,0.399507,0.804999,0.773299,0.693644,0.618716
180,0.698,0.623,0.519,0.445028,0.871599,0.839995,0.766078,0.687017
